hotel,url,image_url,price,address,location,note,score,avg review,reviews count,property
Lavis Serviced Apartment,https://www.booking.com/hotel/vn/lavis-apartmet.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551744&all_sr_blocks=1290499202_402004296_1_0_0_697750&highlighted_blocks=1290499202_402004296_1_0_0_697750&matching_block_id=1290499202_402004296_1_0_0_697750&sr_pri_blocks=1290499202_402004296_1_0_0_697750_81000000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/602867483.webp?k=4dff322b0b48109c1002a00aa62f7580449d93f9bcd62e9add0f090f21b3f8e2&o=,VND 810.000,"Quận Tây Hồ, Hà Nội","Cách trung tâm 5,4km",None,"Đạt điểm 9,5
9,5",Xuất sắc,4,1 giường đôi cực lớn
Private OldQuarter Local bedroom,https://www.booking.com/hotel/vn/private-oldquarter-local-bedroom.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551744&all_sr_blocks=1308578101_403669644_1_0_0&highlighted_blocks=1308578101_403669644_1_0_0&matching_block_id=1308578101_403669644_1_0_0&sr_pri_blocks=1308578101_403669644_1_0_0__806400000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/613295123.webp?k=c41f41dc1e8271c098436ad10803599e9ead1d416c559c930e09517a5b7f4871&o=,VND 8.064.000,"Quận Hoàn Kiếm, Hà Nội","Cách trung tâm 1,3km",None,No info,No info,No info,"3 giường (2 giường đơn, 1 giường đôi lớn)"
Bhome Hoang Hoa Tham,https://www.booking.com/hotel/vn/bhome-hoang-hoa-tham.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551744&all_sr_blocks=1302548401_403124297_2_0_0&highlighted_blocks=1302548401_403124297_2_0_0&matching_block_id=1302548401_403124297_2_0_0&sr_pri_blocks=1302548401_403124297_2_0_0__43200000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/609153534.webp?k=e4adf217f9b0e6f39d1488b72f1b2e233b6c55c8e5c0d8789f7475a6d945996c&o=,VND 432.000,"Quận Ba Đình, Hà Nội","Cách trung tâm 3,6km",None,"Đạt điểm 10
10",Xuất sắc,4,1 giường đôi lớn
Paragon Noi bai Hotel & Pool,https://www.booking.com/hotel/vn/paragon-noi-bai-amp-pool.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551744&all_sr_blocks=605630002_0_1_0_0&highlighted_blocks=605630002_0_1_0_0&matching_block_id=605630002_0_1_0_0&sr_pri_blocks=605630002_0_1_0_0__86852647&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/536826559.webp?k=35b519ff89d99a47936820d19ba7b8a2e984e811129fb37e4bccdda43430dbe3&o=,VND 868.526,Hà Nội,"Cách trung tâm 22,5km",None,"Đạt điểm 8,2
8,2",Rất tốt,1.550,1 giường đôi lớn
Hanoi Capsule Station Hostel,https://www.booking.com/hotel/vn/hanoi-capsule-station-hostel.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551744&all_sr_blocks=1198679203_392156156_1_1_0&highlighted_blocks=1198679203_392156156_1_1_0&matching_block_id=1198679203_392156156_1_1_0&sr_pri_blocks=1198679203_392156156_1_1_0__24000000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/555586345.webp?k=9ac38f324e2bff7b853099b35974d303df87a4d13b87b2de887b7710c7fe58f4&o=,VND 240.000,"Quận Hoàn Kiếm, Hà Nội","Cách trung tâm 1,2km",None,"Đạt điểm 8,6
8,6",Tuyệt vời,660,1 giường đơn
M House 26 Yen phu Tay Ho 2nd,https://www.booking.com/hotel/vn/can-ho-phong-cach-voi-khong-gian-xanh-gan-ho-tay.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551744&all_sr_blocks=940306801_366305106_1_0_0&highlighted_blocks=940306801_366305106_1_0_0&matching_block_id=940306801_366305106_1_0_0&sr_pri_blocks=940306801_366305106_1_0_0__32400000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/415229402.webp?k=f11a17fdedc36658e500bcd45a0f982c0f0bc15110929065f2fc059c9d9ec2b1&o=,VND 324.000,"Quận Tây Hồ, Hà Nội","Cách trung tâm 2,9km",None,"Đạt điểm 8,8
8,8",Tuyệt vời,19,1 giường đôi
Kiwi Sweet studio,https://www.booking.com/hotel/vn/kiwi-sweet-studio.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551744&all_sr_blocks=1309419101_403732032_1_0_0&highlighted_blocks=1309419101_403732032_1_0_0&matching_block_id=1309419101_403732032_1_0_0&sr_pri_blocks=1309419101_403732032_1_0_0__972000000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/613805826.webp?k=68764423d1c7a4828f8a2405fabb8c622d320e833008e1f4c9d977c6f5c98ba8&o=,VND 9.720.000,Hà Nội,Cách trung tâm 3km,None,No info,No info,No info,1 giường đôi
Luxurious Balcony Condo Pool City Central,https://www.booking.com/hotel/vn/luxurious-balcony-condo-pool-city-central.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551744&all_sr_blocks=1308606301_403673141_1_0_0&highlighted_blocks=1308606301_403673141_1_0_0&matching_block_id=1308606301_403673141_1_0_0&sr_pri_blocks=1308606301_403673141_1_0_0__864000000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/613318323.webp?k=47161d427c545084b3b2f4a64ff523a050c94539654f73f6e8ed1dfefafa8a7c&o=,VND 8.640.000,"Quận Hai Bà Trưng, Hà Nội","Cách trung tâm 2,7km",None,No info,No info,No info,"2 giường (1 giường đơn, 1 giường đôi lớn)"
Cozy Apt Hanoi near Vincom Ba Trieu,https://www.booking.com/hotel/vn/cozy-apt-hanoi-near-vincom-ba-trieu.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551744&all_sr_blocks=1308604801_403673077_1_0_0&highlighted_blocks=1308604801_403673077_1_0_0&matching_block_id=1308604801_403673077_1_0_0&sr_pri_blocks=1308604801_403673077_1_0_0__864000000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/613317596.webp?k=f56fd2007d1e8708ec96175678a541aa802799ce340251b59cd4d0d601b7dc2f&o=,VND 8.640.000,"Quận Hai Bà Trưng, Hà Nội","Cách trung tâm 2,8km",None,No info,No info,No info,1 giường đơn
"B&O Homestay - 40m large room, full amenity, peaceful",https://www.booking.com/hotel/vn/b-amp-o-homestay.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAL2w9W5BsACAdICJGYzNDM2MDkyLTJhYWMtNGNlOS05MjI0LTExMDMwZDc5NGRjNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=e350123bd393056f&srepoch=1731551744&all_sr_blocks=1204752201_392698571_2_0_0&highlighted_blocks=1204752201_392698571_2_0_0&matching_block_id=1204752201_392698571_2_0_0&sr_pri_blocks=1204752201_392698571_2_0_0__37800000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/556282069.webp?k=da27bb248cc2a2e55fcdcba24ca7f70384ff6b367ad1a865a0e1b9a911e85133&o=,VND 378.000,"Quận Ba Đình, Hà Nội","Cách trung tâm 3,6km",None,"Đạt điểm 6,5
6,5",Điểm đánh giá,42,1 giường đôi
